#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
devolution   /ˌdevəˈluːʃn/          n.相传，转移；委付；依次；落下权力下放 65%，移交 22%，委托 13%	devolution  /ˌdevəˈluːʃn/       n.相传，转移；委付；依次；落下权力下放 65%，移交 22%，委托 13%                       noun [ U ]uk/ˌdiː.vəˈluː.ʃən/ us/ˌdiː.vəˈluː.ʃən/   the moving of power or responsibility from a main organization to a lower level, or from a central government to a local government（上级组织向下级组织或中央政府向地方政府的）放权，权力下放，责任移交 The majority of people in the province are in favour of devolution.该省大部分人赞同权力下放。       Devolution is a process of decline. Something has gone from great to good, good to bad, or excellent all the way to horrible.If you know that evolution refers to how smaller or lesser creatures evolved into more complex beings, than you have a great clue to what devolution means. When devolution occurs, things have gone in a negative direction. If a rich person loses all their money, that's devolution. If a championship basketball team suddenly has a losing record, that's devolution. This word also refers to a central government delegating authority to a smaller body, such as a regional government.devolution: devolutions/devolve: devolution, devolved, devolvement, devolves, devolving    devolution
pneumococcal             肺炎球菌的肺炎球菌 100%	pneumococcal         肺炎球菌的肺炎球菌 100%                                pneumococcal
off-the-shelf   /ˌɔːf ðə ˈʃelf/          adj.现成的；常备的；成品的adv.现成地；无需作重大修改地现成的 58%，成品的 28%，现货的 14%	off-the-shelf  /ˌɔːf ðə ˈʃelf/       adj.现成的；常备的；成品的adv.现成地；无需作重大修改地现成的 58%，成品的 28%，现货的 14%           I don't use a tailor: I buy all my clothes off-the-shelf.我不使用裁缝：我的衣服都是现成的。                     off-the-shelf
contrarian   /kənˈtreriən/          n.做法与一般大众想法相反的投资人（如买冷门股票）；（与其他人）持相反意见者逆向投资者 82%，与他人意见相反的人 18%词性：形容词 62%, 名词 38%	contrarian  /kənˈtreriən/       n.做法与一般大众想法相反的投资人（如买冷门股票）；（与其他人）持相反意见者逆向投资者 82%，与他人意见相反的人 18%词性：形容词 62%, 名词 38%                                contrarian
paraphrase   /ˈpærəfreɪz/          n.释义；解释；意译vt.释义时态:paraphrased, paraphrasing, paraphrases释义 66%，改写 17%，解述 17%词性：动词 84%, 名词 16%	"paraphrase  /ˈpærəfreɪz/       n.释义；解释；意译vt.释义时态:paraphrased, paraphrasing, paraphrases释义 66%，改写 17%，解述 17%词性：动词 84%, 名词 16%           The students were asked to paraphrase the story they had just heard.学生们被要求复述他们刚刚听到的故事。      para-, 在旁, 在周围, -phrase, 说, 告知, 词源同 phrase, phrasebook. 引申词义解释, 音译.【记】para旁边，phrase语言－写在旁边的语言－注释；意译 【类】paraphrase:verbatim＝approximate:precise意译不是逐字的＝约等于不是精确的      verb [ I or T ]uk/ˈpær.ə.freɪz/ us/ˈper.ə.freɪz/   to repeat something written or spoken using different words, often in a humorous form or in a simpler and shorter form that makes the original meaning clearer（以幽默或更简短、清晰的方式）意译，解释，改述     translation, paraphrase, version  这组词都有“翻译，译文”的意思，其区别是：  translation: 普通用词，指从一种语言到另一种语言的翻译。  paraphrase: 可指非常自由的解释，不拘泥遣词造句，重在传意。通常指用同样语言深入浅出地解释艰深的句子或段落。  version: 可与translation换用，尤指不拘泥于文字的意译，更常指某种作品的一种译文。      The verb paraphrase means to sum something up or clarify a statement by rephrasing it. So to paraphrase that explanation, it means to say something in other, simpler words.If you break paraphrase down, you end up with the prefix para, meaning ""beside,"" and the word phrase — so think of paraphrase as coming up with similar, more simple phrases that go beside the ones already said. You might paraphrase your teacher’s lesson because you want to simplify her complicated technical language, or because you forgot exactly what she said but remember the general meaning.paraphrase: paraphrased, paraphrases, paraphrasing, paraphrastic/paraphrastic: paraphrastically    paraphrase"
parakeet   /ˈpærəkiːt/          n.[鸟] 长尾小鹦鹉长尾鹦鹉 100%	parakeet  /ˈpærəkiːt/       n.[鸟] 长尾小鹦鹉长尾鹦鹉 100%                 可能来自意大利语 parrocchetto, 小祭司, 来自拉丁语 parochus, 祭司, 神父, 词源同 parochial, parish. -etto, 小词后缀. 因这种鸟头上的一绺羽毛像祭司戴的帽子而得名.   parakeet 15 64 Birds   1. pigeon  1a. wing  2. hummingbird  3. crow  3a. beak  4. seagull  5. eagle  6. owl  7. hawk  7a. feather  8. blue jay  9. robin  10. spairow  11. cardinal  12. ostrich  13. egg  14. canary  15. parakeet  16. parrot  17. woodpecker  18. peacock  19. pheasant  20. turkey  21. rooster  22. chick  23. chicken  24. pelican  24a. bill  25. duck  26. goose  27. penguin  28. swan  29. flamingo  30. stork  31. nest  32. roadrunner   noun [ C ]uk/ˌpær.əˈkiːt/ /ˈpær.ə.kiːt/ us/ˈper.ə.kiːt/   a small parrot with a long tail长尾小鹦鹉          parakeet
dreadfully   /ˈdredfəli/          adv.可怕地；极其非常 38%，可怕地 37%，糟透地 25%	dreadfully  /ˈdredfəli/       adv.可怕地；极其非常 38%，可怕地 37%，糟透地 25%           Gosh, Mom, this sweater you bought me is dreadfully ugly.天哪，老妈，你给我买的这件外套极其丑陋啊。            adverbuk/ˈdred.fəl.i/ us/ˈdred.fəl.i/ mainly UK dreadfully adverb BADLY  extremely badly非常糟糕地；恶劣地 She behaved dreadfully.她的行为非常恶劣。  dreadfully adverb VERY  mainly UK extremely非常，极端地 He was dreadfully upset.他非常苦恼。 I'm dreadfully sorry - I really am.我非常抱歉——真的非常抱歉。          dreadfully
caramelized   /ˈkɑːrməlaɪzd; ˈkærəməlaɪzd/          使成焦糖加熔使焦（caramelize的过去式和过去分词 ）原型:caramelized 是 caramelize 的过去式和过去分词动词 100%	caramelized  /ˈkɑːrməlaɪzd; ˈkærəməlaɪzd/       使成焦糖加熔使焦（caramelize的过去式和过去分词 ）原型:caramelized 是 caramelize 的过去式和过去分词动词 100%                                caramelized
by-catch              混获	by-catch          混获                                by-catch
nativist   /ˈneɪtɪvɪst/          n.先天论者；本土主义者；本土文化保护者先天论者 39%，本土文化保护者 37%，天性论的 12%，先天论的 12%	nativist  /ˈneɪtɪvɪst/       n.先天论者；本土主义者；本土文化保护者先天论者 39%，本土文化保护者 37%，天性论的 12%，先天论的 12%                                nativist
breakage   /ˈbreɪkɪdʒ/          n.破坏；破损；裂口；破损量破损 52%，破坏 45%，打破 3%	breakage  /ˈbreɪkɪdʒ/       n.破坏；破损；裂口；破损量破损 52%，破坏 45%，打破 3%                       noun [ C or U ]uk/ˈbreɪ.kɪdʒ/ us/ˈbreɪ.kɪdʒ/   something that has been broken破损物；破碎物品 Any breakages must be paid for.任何损坏必须赔偿。          breakage
chirp   /tʃɜːrp/          n.唧唧声；喳喳声；[通信] 啁啾声vi.吱喳而鸣；尖声地说；咂嘴打招呼vt.吱喳而鸣；尖声地说；咂嘴向…打招呼时态:chirped, chirping, chirps吱喳而鸣 38%，唧唧声 31%，喳喳声 21%，轻松愉快地说 10%词性：动词 75%, 名词 25%	"chirp  /tʃɜːrp/       n.唧唧声；喳喳声；[通信] 啁啾声vi.吱喳而鸣；尖声地说；咂嘴打招呼vt.吱喳而鸣；尖声地说；咂嘴向…打招呼时态:chirped, chirping, chirps吱喳而鸣 38%，唧唧声 31%，喳喳声 21%，轻松愉快地说 10%词性：动词 75%, 名词 25%           The blue bird chirps loudly on the branch.蓝鸟在树枝上大声地鸣叫着。      →记1: chirp→象声词→喳喳声 拟声词, 模仿鸟叫的声音.【记】读：扯破：扯破了喉咙喊出短而高的声音      verbuk/tʃɜːp/ us/tʃɝːp/   [ I ] also chirrup (especially of a bird) to make a short high sound or sounds（尤指鸟）啁啾，唧唧叫，叽喳叫 [ + speech ] to say something with a high, happy voice轻松愉快地说，快活地说 ""Morning!"" she chirped.“早上好！”她欢快的说道。       A chirp is the short, high sound a bird makes. The chirps of the robins at your bird feeder through the open window might drive your cat crazy.Birds chirp — you could also say they tweet, twitter, cheep, and warble — and some insects chirp too. An extremely cheerful person also chirps: ""The overly enthusiastic tour guide chirps happily as the bus moves through the city."" Chirp may have developed as an imitation of the sound itself, or it may stem from the Middle English chirken, ""twitter,"" which is rooted in the Old English cearcian, ""to creak.""chirp: chirped, chirping, chirps, chirpy/chirpy: chirpiness    chirp"
poached   /poʊtʃt/          adj.清蒸的，水煮的vt.水煮（poach的过去分词形式）；清蒸原型:poached 是 poach 的过去式和过去分词挖走 58%，水煮 35%，侵占 7%	poached  /poʊtʃt/       adj.清蒸的，水煮的vt.水煮（poach的过去分词形式）；清蒸原型:poached 是 poach 的过去式和过去分词挖走 58%，水煮 35%，侵占 7%                                poached
possessor   /pəˈzesər/          n.持有人；所有人持有人 55%，所有人 45%	possessor  /pəˈzesər/       n.持有人；所有人持有人 55%，所有人 45%                       noun [ C usually singular ]uk/pəˈzes.ər/ us/pəˈzes.ɚ/ formal or humorous  someone who owns something持有人，拥有人，所有人 I'm pleased to say that I'm now the proud possessor of a driving licence!我很高兴地宣布我现在非常骄傲地持有驾驶执照了！          possessor
commiserate   /kəˈmɪzəreɪt/          vt.同情，怜悯vi.同情，怜悯；吊慰时态:commiserated, commiserating, commiserates同情 60%，怜悯 40%	"commiserate  /kəˈmɪzəreɪt/       vt.同情，怜悯vi.同情，怜悯；吊慰时态:commiserated, commiserating, commiserates同情 60%，怜悯 40%           I commiserated with her when she didn't get the promotion.当她没有得到提拔时，我很同情她。      →记1: commiserate→com+miser(=wretched 可怜的)+ate→怜悯 →参考: miserable(a. 可怜的) com-, 强调. -miser, 可怜, 见 miserable.怜悯,同情(com共同+miser+ate→共同可怜→怜悯)[mmiser=wretched表示""可怜的""]【例】I commiserate with him after he got fired.  我对他被解雇表示同情。 【记】com共同，miser可怜－共同可怜－同情com共同，miser＝miss想念，ate吃－一堆穷人只能想念吃的东西，值得我们的同情。 【参】commiseration（n.同情的言语或表示）      verb [ I ]uk/kəˈmɪz.ə.reɪt/ us/kəˈmɪz.ə.reɪt/   to express sympathy to someone about some bad luck表示同情（或惋惜） I began by commiserating with her over the defeat.我首先对她的失败表示惋惜。       When you commiserate with your buddies, you're sharing your lousy feelings. People who commiserate have the same negative feelings about something.Take a look at how commiserate is built: it's from Latin ""com-,"" which means ""together with,"" and miserārī, ""to pity."" Put them together, and you get ""to pity one another, commiserate."" When you commiserate, you and your fellow commiserators talk about how badly you're all feeling. After the layoffs, we all went to the bar to commiserate.commiserate: commiserated, commiserates, commiserating, commiseration, commiserative/commiseration: commiserations/commiserative: commiseratively    commiserate"
prognostic   /prɑːɡˈnɑːstɪk/          n.预兆；预言；预后症状adj.预后的；预兆的预兆 53%，预兆的 47%	"prognostic  /prɑːɡˈnɑːstɪk/       n.预兆；预言；预后症状adj.预后的；预兆的预兆 53%，预兆的 47%                 预兆的n.征兆(pro+gnost+ic)[gnos(t),gnor=know,表示""知道""]      adjectiveuk/prɒɡˈnɒs.tɪk/ us/prɑːɡˈnɑːs.tɪk/ specialized  relating to a doctor's judgment of the likely or expected development of a disease or of the chances of getting better（与医生对病情发展的预测有关的）预后的，预断的          prognostic"
prowl   /praʊl/          n.徘徊，潜行；悄悄踱步vt.在…搜寻；潜行于vi.徘徊，潜行时态:prowled, prowling, prowls徘徊 65%，潜行 17%，悄悄踱步 7%，窥伺 5%，潜行以觅食 3%，逡巡于 3%词性：动词 79%, 名词 21%	"prowl  /praʊl/       n.徘徊，潜行；悄悄踱步vt.在…搜寻；潜行于vi.徘徊，潜行时态:prowled, prowling, prowls徘徊 65%，潜行 17%，悄悄踱步 7%，窥伺 5%，潜行以觅食 3%，逡巡于 3%词性：动词 79%, 名词 21%           Beware of hunting animals on the prowl.谨防狩猎动物的徘徊。      来自中古英语 prollen, 潜行, 词源不详. 来自 per, 向前, 词源同 forth.【记】pro前，owl（n.猫头鹰）晚上无声飞行觅食的动物－偷偷找 【类】reconnoiter:information＝prowl:prey『canvass: vote』侦察是偷偷找信息＝巡游是偷偷找猎物『拉选票:投票』      verb [ I or T ]uk/praʊl/ us/praʊl/   to move around quietly in a place trying not to be seen or heard, such as an animal does when hunting（打猎等时）悄悄来回游走（于），潜行 There have been reports of a masked man prowling in the neighbourhood.有人报告说有一个蒙面人在附近出没。 At night, adult scorpions prowl the desert for (= trying to catch) insects.在夜晚，成年蝎子在沙漠里潜行觅食昆虫。informal Unable to sleep, he prowled (= walked without purpose) (about/around) the hotel corridors.他睡不着，就在旅馆的走廊里徘徊。  nounuk/praʊl/ us/praʊl/  be on the prowl to be moving around quietly in a place trying not to be seen or heard悄然潜行 There was a fox on the prowl earlier.早些时候有只狐狸出没于此。       If you move stealthily — like you're looking for something to prey on — then you prowl. Your cat might prowl around the room and pounce on your feet, which is cute if you're awake, but annoying when you're asleep.The noun prowl means the act of moving as if to capture prey. You could take a prowl through the music shop and try to find your favorite vintage album. Prowl is also used in the phrase ""on the prowl,"" which implies that the person doing the prowling is looking for a romantic partner. Your idea of a fun Saturday night might be staying home while your friends go on the prowl at the dance club.prowl: prowled, prowler, prowling, prowls/prowler: prowlers    prowl"
screeching   /ˈskriːtʃɪŋ/          n.尖叫；[动力] 发动机啸声v.发出尖利刺耳的声音（screech的ing形式）原型:screeching 是 screech 的现在分词发动机啸声 100%词性：形容词 66%, 名词 34%	screeching  /ˈskriːtʃɪŋ/       n.尖叫；[动力] 发动机啸声v.发出尖利刺耳的声音（screech的ing形式）原型:screeching 是 screech 的现在分词发动机啸声 100%词性：形容词 66%, 名词 34%                                screeching
re-route             vt.以另一路线运送	re-route         vt.以另一路线运送                                re-route
stopgap   /ˈstɑːpɡæp/          n.权宜之计；补缺者adj.权宜的；暂时的权宜之计 100%	stopgap  /ˈstɑːpɡæp/       n.权宜之计；补缺者adj.权宜的；暂时的权宜之计 100%                 stop, 塞住, gap, 空隙. 引申比喻义权宜之计.      noun [ C ]uk/ˈstɒp.ɡæp/ us/ˈstɑːp.ɡæp/   something intended for temporary use until something better or more suitable can be found权宜之计；临时替代品 Hostels are used as a stopgap until the families can find permanent accommodation.那些家庭住进永久居所之前，住旅舍通常只是权宜之计。 We might have to employ someone temporarily as a stopgap measure until we can hire someone permanently.在找到人填补这个空缺之前，我们可能得先暂时雇个人顶一下。       A stopgap is a temporary solution to a problem, like a piece of cardboard taped over the broken window in your car. Until you can get it fixed, you need a stopgap.This sturdy English native dates to the early 16th century, and like its semantic cousin makeshift, it seems to have been cobbled together by the two closest words at hand. Both words actually originated from phrasal use of their components: stop a gap for the first, and make shift for the second. Not that they're jury-rigged in any way!stopgap: stopgaps   stopgap
streetlamp   /'stri:tlæmp/          n.路灯，街灯街灯 100%	streetlamp  /'stri:tlæmp/       n.路灯，街灯街灯 100%                                streetlamp
striper   /ˈstraɪpər/          n.颠装置；现役军人或海军军官条纹鲈 100%	striper  /ˈstraɪpər/       n.颠装置；现役军人或海军军官条纹鲈 100%                                striper
mother-daughter             [网络]母女；母子站	mother-daughter         [网络]母女；母子站                                mother-daughter
cassava   /kəˈsɑːvə/          n.木薯（等于cassawa）木薯 100%	cassava  /kəˈsɑːvə/       n.木薯（等于cassawa）木薯 100%                 来自加勒比海海地语.      noun [ U ]uk/kəˈsɑː.və/ us/kəˈsɑː.və/   also manioc a South American plant with large roots, or a type of flour made from these roots木薯；木薯粉       Cassava is a starchy tuber that comes from a South American shrub of the same name. In tropical countries, cassava is a common staple food.The most cassava is grown and eaten in Nigeria, and it's popular in many places because it grows even when there's not much rain or the soil is poor. Experts estimate that 800 million people depend on cassava. It has to be properly prepared to be safely eaten, either cooked like potatoes or ground into a coarse meal or fine flour. Tapioca, a starch found in pudding and bubble tea, is also made from cassava.cassava: cassavas   cassava
homologous   /hoʊˈmɑːləɡəs/          adj.相应的；[生物] 同源的；类似的；一致的相应的 84%，一致的 16%	"homologous  /hoʊˈmɑːləɡəs/       adj.相应的；[生物] 同源的；类似的；一致的相应的 84%，一致的 16%                 homo-, 相同的, -log, 说话, 词源同 dialogue, legible. 即说一样话的, 引申词义同思想的, 同源的, 类似的.      adjectiveuk/həˈmɒl.ə.ɡəs/ us/hoʊˈmɑː.lə.ɡəs/   formal biology having a similar position, structure, value, or purpose（位置、结构、价值或目的等）相似的，相应的 specialized in biology, having the same origin although now having a different purpose or shape as a result of evolution (= gradual change over millions of years)同源的（生物学术语，指经过了数百万年的进化演变，尽管形态、用途已不尽相同，但拥有相同的起源） The wing of a bat and the arm of a man are homologous structures.蝙蝠的翅膀和人类的手臂是相应的同源结构。       Something homologous is similar in function to something else. You might say that your dog's hind legs and your legs are homologous, because they have similar structure and function.Homologous comes from the Latin for ""agreeing,"" and has the root homo- in it, which means ""same."" In biology, homologous either refers to traits that share an origin, and have the same function (like the spine on all vertebrates), or structures that share an evolutionary origin, but have developed different functions. Either way, something is the same about them. You'll also find homologous in math, like when two triangles share a line.homology: homologic, homological, homologies, homologise, homologize, homologous/homologic: homologically/homologise: homologised, homologises, homologising    homologous"
innately   /ɪˈneɪtli/          adv.天赋地；与生俱来的天赋地 75%，天生就有地 25%	innately  /ɪˈneɪtli/       adv.天赋地；与生俱来的天赋地 75%，天生就有地 25%                                innately
third-person             第三人称角色第三人称角色 100%	third-person         第三人称角色第三人称角色 100%                                third-person
ukulele   /ˌjuːkəˈleɪli/          n.尤克里里琴（夏威夷的四弦琴，等于ukelele）夏威夷的四弦琴 50%，=ukelele. 50%	"ukulele  /ˌjuːkəˈleɪli/       n.尤克里里琴（夏威夷的四弦琴，等于ukelele）夏威夷的四弦琴 50%，=ukelele. 50%                 来自夏威夷语, 跳蚤, 来自 uku, 虱子, lele, 跳. 因弹奏这种乐器手指如同跳蚤而得名.   ukulele 3 98 Musical Instruments Strings  1. piano  1a. keyboard  2. sheet music  3. ukulele  4. mandolin  5. banjo  6. harp  7. violin  7a. bow  8. viola  9. cello  10. bass  10a. string  11. guitar  11a. pick Woodwinds  12. piccolo  13. flute  14. bassoon  15. oboe  16. clarinet Percussion  17. tambourine  18. cymbals  19. drum  19a. drumsticks  20. conga  21. kettledrum  22. bongos Brass  23. trombone  24. saxophone  25. trumpet  26. French horn  27. tuba Other Instruments  28. accordion  29. organ  30. harmonica  31. xylophone   noun [ C ]also ukelele uk/ˌjuː.kəˈleɪ.li/ us/ˌjuː.kəˈleɪ.li/   a small guitar or banjo with four strings尤克莱利琴（四弦的小吉他或班卓琴） George Formby made the ukulele famous in his films in the 1940s.20世纪40年代，乔治‧丰比在他的电影中令尤克莱利琴名声大噪。       The happy little Hawaiian stringed instrument that looks like a small guitar is a ukulele. Most ukuleles have four strings and are light enough to be strummed by anyone, including kids.The ukulele, or uke, as it's frequently called for short, comes in four standard sizes: soprano, concert, tenor, and baritone, and even more less-common variations. The larger the uke, the deeper and louder its sound. Some ukuleles are even double-strung, with a total of eight strings. A good ukulele player's fingers move extremely fast, which explains its name, which means ""leaping flea"" in Hawaiian.ukulele: ukuleles   ukulele"
vacuous   /ˈvækjuəs/          adj.空的；空虚的；空洞的；无意义的空的 56%，心灵空虚的 22%，发呆的 22%	"vacuous  /ˈvækjuəs/       adj.空的；空虚的；空洞的；无意义的空的 56%，心灵空虚的 22%，发呆的 22%           A stadium looks vacuous without a cheering crowd.没有欢呼的人群，体育场看起来很空虚。      空虚的;无意义的[vac,van,void=empty表示""空""] 无意义的(vac空)[-uous表形容词""多…的""]【记】vac空，uous：空虚的 【反】intelligent（adj.睿智的）；omniscient（adj.无所不知的）      adjectiveuk/ˈvæk.ju.əs/ us/ˈvæk.ju.əs/ formal  not expressing or showing intelligent thought or purpose空洞的；无知的 a vacuous remark/question/expression/smile空洞的评论／无知的问题／茫然的表情／傻笑       Reserved for the harmlessly stupid and truly meaningless, vacuous is a smart-sounding way to describe something dumb. Celebrity gossip and reality TV are usually pretty vacuous, even if they're fun.If someone smiles at you in a way that seems fake or empty, you could describe the smile as vacuous.  An example of a vacuous comment would be a politician promising to make things better without explaining how.  If something is vacuous, it's like a vacuum — hollow, empty, devoid of substance.vacuous: vacuity, vacuously, vacuousness/vacuity: vacuities    vacuous"
reincarnate   /ˌriːɪnˈkɑːrneɪt/          adj.转世化身的vt.使转世；使转世化身时态:reincarnated, reincarnating, reincarnates转生 45%，使化身 33%，转世的 22%	"reincarnate  /ˌriːɪnˈkɑːrneɪt/       adj.转世化身的vt.使转世；使转世化身时态:reincarnated, reincarnating, reincarnates转生 45%，使化身 33%，转世的 22%                 →记1: reincarnate→re+incarnate(赋予…以形体)→赋予…以新形体 incarnate→in+carn(=flesh 肉体)+ate→making flesh →参考: reincarnation(n. 灵魂的转世化身)re-, 再, 重新, incarnate, 化身.化生,转生(re+in入＋carn肉＋ate→重新进入肉体→产生)[re-①表示""向后,相反,不""②表示""一再,重新""] 再具肉体,转生[carn=flesh,表示""肉,肉欲""]【记】re重新，incarnate（v.使成化身；adj.人体化的），其中carn是“肉”的词根。参：carnival（n.狂欢节）肉体的节日      verbuk/ˌriː.ɪn.kɑːˈneɪt/ us/ˌriː.ɪnˈkɑːr.neɪt/   [ T always passive ] If a dead person or animal is reincarnated as someone or something else, their spirit returns to life in that person or animal.使投胎，使转世化身 [ T ] If something is reincarnated, it appears in a different form, especially after it has disappeared for a period of time.再生；（尤指消失一段时间后）以不同的形式出现 Compared to the old model, the reincarnated Mini Cooper has a more powerful engine and looks more streamlined.与老的模型比较，新款的“迷你库柏”有更强的引擎，看起来更流畅。          reincarnate"
transact   /trænˈzækt/          vt.办理；处理vi.交易；谈判时态:transacted, transacting, transacts办理 50%，交易 25%，进行 18%，谈判 7%	"transact  /trænˈzækt/       vt.办理；处理vi.交易；谈判时态:transacted, transacting, transacts办理 50%，交易 25%，进行 18%，谈判 7%                 tran-, 转移, 进入, act, 做, 行为. 引申词义交易, 买卖等.做交易;办理(trans横＋act→横向动→互相贸易或交易)[act=to do,to drive表示""行动,做""]      verb [ T ]uk/trænˈzækt/ us/trænˈzækt/ formal  to do and complete a business activity做（生意）；办理（业务） The sale was transacted in conditions of the greatest secrecy.这笔交易是在极其保密的状态下进行的。       The verb transact is almost always used with the word ""business."" To transact business is to conduct it, as when a shopkeeper sells groceries to a customer.All kinds of business owners and workers transact business, just by following their usual routines of selling, buying, investing, trading, or anything else they do to carry out their work. Shoppers also participate in transacting business — a purchase can also be called a transaction. The Latin root word, transactus, means ""to drive through or accomplish.""transact: transacted, transacting, transaction, transactor, transacts/transaction: transactions/transactor: transactors    transact"
turnpike   /ˈtɜːrnpaɪk/          n.[税收] 收费高速公路；收税关卡收费公路 100%	turnpike  /ˈtɜːrnpaɪk/       n.[税收] 收费高速公路；收税关卡收费公路 100%           You will have to pay two dollars at the turnpike.在高速路收费处你需要支付两美元。      turn, 转动, pike, 矛, 枪杆. 比喻用法.      noun [ C ]uk/ˈtɜːn.paɪk/ us/ˈtɝːn.paɪk/ informal pike US  a main road that you usually have to pay to use付费高速公路 the New Jersey Turnpike新泽西付费高速公路       A turnpike is a busy road that charges users a fee to drive on it. If you drive through a toll booth, you know you're on a turnpike.You can also call a turnpike a toll road because drivers have to pay a toll, usually when they exit, but sometimes also when they first enter the turnpike. This kind of pay-to-use road existed even before cars were invented. Today's turnpikes typically have toll plazas or booths, or special lanes equipped to collect tolls electronically. Highways that are free to use are called freeways or expressways.turnpike: turnpikes   turnpike
floodlight   /ˈflʌdlaɪt/          n.照明灯；泛光灯；探照灯vt.用泛光灯照亮时态:floodlit, floodlighting, floodlights泛光灯 72%，用泛光灯照亮 28%	floodlight  /ˈflʌdlaɪt/       n.照明灯；泛光灯；探照灯vt.用泛光灯照亮时态:floodlit, floodlighting, floodlights泛光灯 72%，用泛光灯照亮 28%                 比喻用法.      noun [ C usually plural ]uk/ˈflʌd.laɪt/ us/ˈflʌd.laɪt/   a large, powerful electric light used for lighting outside areas, such as sports fields or buildings, in the dark（用于体育场、建筑物等室外区域照明的）泛光灯，泛光照明灯 This evening's match will be played under floodlights.今晚的比赛将在泛光灯下进行。          floodlight
survivalist   /sərˈvaɪvəlɪst/          n.活命主义者；成功地活下来的人活命主义者 50%，成功地活下来的人 50%	survivalist  /sərˈvaɪvəlɪst/       n.活命主义者；成功地活下来的人活命主义者 50%，成功地活下来的人 50%                 survive, 生存, -al, 形容词后缀, -ist, 人.               survivalist
surrealism   /səˈriːəlɪzəm/          n.超现实主义	"surrealism  /səˈriːəlɪzəm/       n.超现实主义                 surreal, 超现实的, -ism, 主义, 思想.超现实主义(sur+realism现实主义)[sur-表示""超过,在上面""]      noun [ U ]usuk/səˈrɪə.lɪ.zəm/ specialized  a type of 20th-century art and literature in which unusual or impossible things are shown happening超现实主义（20世纪的一个文艺流派）       Surrealism is a wild painting and writing style that creates images that might come from dreams, like a landscape with gold pocket-watches bending, or an eyeball with clouds inside.Salvador Dali is one of surrealism's most famous painters. The surrealism movement attracted writers and painters between World War I and World War II. The artists wanted to get beyond reason and logic. Instead, they looked to dreams and the power of the unconscious mind, which is weird, odd, bizarre, illogical, and fantastic. In surrealism, anything can happen—it’s the opposite of realistic art. We recognize the objects of surrealism, but they’re not following the rules of our world.surrealism: surrealisms, surrealistic/surreal: surrealism, surreally/surrealistic: surrealistically    surrealism"
gearbox   /ˈɡɪrbɑːks/          n.变速箱；齿轮箱变速箱 70%，齿轮箱 30%	gearbox  /ˈɡɪrbɑːks/       n.变速箱；齿轮箱变速箱 70%，齿轮箱 30%                       noun [ C ]uk/ˈɡɪə.bɒks/ us/ˈɡɪr.bɑːks/   a metal box containing the gears in a vehicle齿轮箱，变速箱          gearbox
sportswear   /ˈspɔːrtswer/          n.运动装；休闲服运动装 81%，休闲服 19%	sportswear  /ˈspɔːrtswer/       n.运动装；休闲服运动装 81%，休闲服 19%                       noun [ U ]uk/ˈspɔːts.weər/ us/ˈspɔːrts.wer/   (used especially in shops) clothes that are worn for sports or other physical activities运动服装（该词尤用于店铺中）          sportswear
sonogram   /ˈsɑːnəɡræm; ˈsoʊnəɡræm/          n.声波图；声谱记录；语图超声波扫描图 100%	"sonogram  /ˈsɑːnəɡræm; ˈsoʊnəɡræm/       n.声波图；声谱记录；语图超声波扫描图 100%                       noun [ C ]uk/ˈsɒn.ə.ɡræm/ us/ˈsɑː.nə.ɡræm/ also sonograph specialized  an image, especially of a baby that is still inside the womb, that is produced by ultrasound (= sound waves)（尤指胎儿的）超声波扫描图       In medicine, a sonogram uses sound waves to display an image of some internal part of a person's body. A pregnant woman might have a sonogram to get a picture of her fetus.A sonogram most commonly produces a two-dimensional black and white image — for example, of a fetus inside its mother's uterus. Doctors use sonograms to see organs, tendons, muscles, and joints as well. A sonogram works by bouncing high frequency sounds against tissue and displaying the reflected or echoed image. The word itself combines the Latin sonus, or ""sound,"" and the word-forming suffix -gram.sonogram: sonograms   sonogram"
headhunter   /ˈhedhʌntər/          n.猎头者；物色人才的人；猎取人头的蛮人物色人才的人 67%，猎取人头者 33%	headhunter  /ˈhedhʌntər/       n.猎头者；物色人才的人；猎取人头的蛮人物色人才的人 67%，猎取人头者 33%                       noun [ C ]uk/ˈhedˌhʌn.tər/ us/ˈhedˌhʌn.t̬ɚ/  headhunter noun [ C ] JOB  a person who tries to persuade someone to leave their job by offering that person another job with more pay and a higher position猎头，物色人才的人  headhunter noun [ C ] FIGHTER  a member of a group of people that keeps the heads of the enemies that it has killed割取敌人头颅作为战利品的部落成员          headhunter
