#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
fallacious   /fəˈleɪʃəs/          adj.谬误的；骗人的；靠不住的；不合理的谬误的 58%，不合理的 28%，使人误解的 14%	"fallacious  /fəˈleɪʃəs/       adj.谬误的；骗人的；靠不住的；不合理的谬误的 58%，不合理的 28%，使人误解的 14%           Your logic is obviously fallacious--even the calculator thinks you're wrong!你的逻辑明显是谬误的---即使是计算器也认为你错了。      来自 fallacy, 谬误.犯错误的(fall+acious有...的→有错误的)[fall,fail,fault=err,deceive,表示""犯错误,欺骗""] 错误的(fall错;参考:fallacy谬误)[-acious表形容词""有特征的,多...的""]【区】fallible（adj.人类本身易犯错误的）Everybody is fallible.  人人都难免有错。 【反】valid（adj.有效的；正确的）；sound（adj.合理的）；veritable（adj.真正的）；veracious（adj.说实话的）      adjectiveuk/fəˈleɪ.ʃəs/ us/fəˈleɪ.ʃəs/ formal  not correct错误的，谬误的 His argument is based on fallacious reasoning.他的论点是建立在错误的推理基础上的。       Something fallacious is a mistake that comes from too little information or unsound sources. Predictions that the whole state of California will snap off from the rest of North America and float away have proven to be fallacious — for now, anyway.Fallacious comes ultimately from the Latin fallax,""deceptive."" The word fallacious might describe an intentional deception or a false conclusion coming from bad science or incomplete understanding. A tween's assumption that anyone over 20 can't understand her situation would be fallacious; we have all been young once too.fallacious: fallaciously, fallaciousness/fallacy: fallacies, fallacious    fallacious"
fanny   /ˈfæni/          n.（口）屁股，臀部n.（禁忌语）女性阴部，女性生殖器	fanny  /ˈfæni/       n.（口）屁股，臀部n.（禁忌语）女性阴部，女性生殖器                 俚语词. 据说来自丑闻小说“Fanny Hill or Memoirs of a Woman of Pleasure”, 其中 Fanny 为 Frances 昵称. 或可能直接来自对法国人的恶搞. 比较 French letter.      noun [ C ]uk/ˈfæn.i/ us/ˈfæn.i/   UK offensive a woman's sexual organs女性生殖器；阴部 US old-fashioned informal a person's bottom屁股          fanny
digitized   /ˈdɪdʒɪtaɪzd/          v.使数字化（digitize的过去分词）adj.数字化的原型:digitized 是 digitize 的过去式和过去分词数字化的 92%，动词digitize的过去式和过去分词形式. 8%	digitized  /ˈdɪdʒɪtaɪzd/       v.使数字化（digitize的过去分词）adj.数字化的原型:digitized 是 digitize 的过去式和过去分词数字化的 92%，动词digitize的过去式和过去分词形式. 8%                                digitized
ruptured    /ˈrʌptʃər/           adj.破裂的v.rupture（rupture的过去分词）原型:ruptured 是 rupture 的过去式和过去分词破裂的 94%，动词rupture的过去式和过去分词. 6%	ruptured   /ˈrʌptʃər/        adj.破裂的v.rupture（rupture的过去分词）原型:ruptured 是 rupture 的过去式和过去分词破裂的 94%，动词rupture的过去式和过去分词. 6%                                ruptured
downer   /ˈdaʊnər/          n.镇定剂；令人沮丧的人镇定剂 75%，令人沮丧的人或事 25%	downer  /ˈdaʊnər/       n.镇定剂；令人沮丧的人镇定剂 75%，令人沮丧的人或事 25%                 来自 down, 向下, 镇静.      nounuk/ˈdaʊ.nər/ us/ˈdaʊ.nɚ/ informal downer noun EXPERIENCE  [ C usually singular ] an event or experience that makes you unhappy令人沮丧的事 You lost your job? That's a real downer!你丢掉了工作？真是太倒霉了！  downer noun DRUG  [ C ] a drug that makes you feel calmer镇静剂Compareupper noun (DRUG)          downer
paper   /ˈpeɪpər/          n.纸；论文；文件；报纸adj.纸做的vt.用纸糊；用纸包装vi.贴糊墙纸；发交通违章传票时态:papered, papering, papers纸 79%，论文 8%，报纸 6%，文件 5%，纸制的 1%，有名无实的 1%词性：名词 99%, 动词 1%	"paper  /ˈpeɪpər/       n.纸；论文；文件；报纸adj.纸做的vt.用纸糊；用纸包装vi.贴糊墙纸；发交通违章传票时态:papered, papering, papers纸 79%，论文 8%，报纸 6%，文件 5%，纸制的 1%，有名无实的 1%词性：名词 99%, 动词 1%           Ava was writing her answers on the paper.艾娃正在纸上写下她的答案。      来自拉丁语 papyrus, 纸莎草, 纸莎草制的纸, 词源同 papyrus. 最终来自埃及语. 引申诸相关词义.n.纸;纸制品;报纸;(pl)文件;试卷;论文I nearly fear to tear the tearful girl's test paper.我几乎害怕撕那个泪流满面的女孩的试卷.   paper 13 76 A Classroom   1. flag  2. clock  3. loudspeaker  4. teacher  5. chalkboard  6. locker  7. bulletin board  8. computer  9. chalk tray  10. chalk  11. eraser  12. hall  13. (loose-leaf) paper  14. ring binder  15. spiral notebook  16. desk  17. glue  18. brush  19. student  20. pencil sharpener  21. pencil eraser  22. ballpoint pen  23. ruler  24. pencil  25. thumbtack  26. textbook  27. overhead projector   nounuk/ˈpeɪ.pər/ us/ˈpeɪ.pɚ/  paper noun MATERIAL A1 [ U ] thin, flat material made from crushed wood or cloth, used for writing, printing, or drawing on纸 a piece/sheet of paper一张纸 writing paper信纸 Dictionaries are usually printed on thin paper.字典通常用薄纸印刷。 a paper bag纸袋 This card is printed on recycled paper (= paper made from used paper).这张卡片是用再生纸印的。 Get the idea down on paper (= write it) before you forget it.把想法写在纸上以免忘了。 She works on paper (= writes things on paper) because she hates computers.她在纸上写东西，因为她不喜欢用电脑。More examplesI didn't realize we had to write each answer on a new sheet of paper.The parcel had only been loosely wrapped, and the paper had come off.Have you got a scrap of paper I could write on?He rifled through the papers on the desk, but couldn't find the photographs.The leaflets will be printed on recycled paper.  paper noun DOCUMENT B1 [ C ] a newspaper报纸 a daily/weekly/local/national paper日报／周报／地方性报纸／全国性报纸 The photo was on the front page of all the papers.这张照片上了各家报纸的头版。papers [ plural ] official documents, especially ones that show who you are证件，（尤指）身份证 The border guards stopped me and asked to see my papers.边防卫兵拦住我要看我的证件。A2 [ C ] UK a set of printed questions for an exam考卷 Candidates must answer two questions from each paper.应试者必须回答每张考卷上的两个问题。 The geography paper is not till next week.地理试卷下周才能印好。C2 [ C ] a piece of writing on a particular subject written by an expert and usually published in a book or journal, or read aloud to other people（发表或宣读的）论文 He will give a paper on thermodynamics at a conference in Berlin.他将在柏林召开的学术会议上宣读一篇热力学方面的论文。B1 [ C ] US UK essay a short piece of writing on a particular subject, especially one done by students as part of the work for a course（尤指学生的）课程论文 Mr Jones thought my history paper was terrific.琼斯先生认为我的历史课程论文写得好极了。 For homework I want you to write a paper on endangered species.我想让你们写一篇关于濒危物种的文章作为作业。 Idiom(s)sb couldn't act, argue, fight, etc. their way out of a paper bagon papera paper chase verb [ T ]uk/ˈpeɪ.pər/ us/ˈpeɪ.pɚ/   to cover a wall, room, etc. with wallpaper用墙纸贴（或糊）Phrasal verb(s)paper over sth    article, paper, theme, composition, dissertation, essay, prose, thesis  这组词都有“文章”的意思，其区别是：  article: 多指在报刊、杂志上发表的非文艺性的文章，包括新闻报导、学术论文等。  paper: 正式用词，多指在学术刊物上发表或在学术会议上宣读的专题论文，也指高等学校的学期论文，或学校里的作文练习。  theme: 一般指大学或高中生作为作业所写的篇幅有限、较完整论述某个观点的文章。也可指作品或谈话的主要论题。  composition: 多指学校里老师给学生的作文练习。  dissertation: 书面语用词，指独立研究后所写的较为详细的专题文章；也可指学位论文。  essay: 指任何一种非小说性的，篇幅不长、结构简练的文章，如论说文、报道、评论、讽刺性杂文等。  prose: 专指散文。  thesis: 既可指毕业论文、学位论文，又可指一般的为阐述学术观点而写的论文。     document, paper  这组词都有“文件”的意思，其区别是：  document: 即可指法律性文件，也可指用作证明或消息来源的文件或记录等。  paper: 普通用词，泛指成册供将来参考或使用的任何文件或公文等。      Paper is the thin, flexible material you doodle on during math class. It's also paper that you fold carefully into the shape of an airplane before launching it across the classroom.If you've ever ripped a sheet of paper or crumpled one into a ball, it might be hard to believe that it comes from trees — wood pulp, to be exact. The history of paper is long, dating as far back as the second century BCE in China. Paper can also mean ""newspaper,"" or ""essay,"" and as a verb it means ""cover with paper."" You might, for example, decide to paper your bedroom walls with colorful pieces of paper.paper: papered, paperer, papering, paperlike, papers, papery/paperer: paperers/papering: paperings/papers: paperses    paper"
parent   /ˈperənt/          n.父亲（或母亲）；父母亲；根源父母 83%，根源 10%，产生 5%，抚养 2%词性：名词 99%, 动词 1%	"parent  /ˈperənt/       n.父亲（或母亲）；父母亲；根源父母 83%，根源 10%，产生 5%，抚养 2%词性：名词 99%, 动词 1%           Their parents are nice.他们的父母很好。      来自拉丁语 parere, 生育, 词源同 pare. -ent, 现在分词后缀, 此处做名词.父母(par+ent)[par=bringforth,表示""生产,生出孩子""] n.父母,母亲;(pl.)双亲;父母His parents apparently stare at the transparent cigarettes.他父母显然凝视着透明香烟.      noun [ C ]uk/ˈpeə.rənt/ us/ˈper.ənt/  parent noun [ C ] MOTHER/FATHER A1 a mother or father of a person or an animal父亲；母亲 I'm going to meet Richard's parents for the first time this weekend.我这个周末将第一次见理查德的父母。More examplesOne of the joys of being a parent is watching the child's character develop.As a parent you try to create a stable home environment for your children to grow up in.Children need lots of encouragement from their parents.My parents were rather annoyed that I hadn't told them about the accident.He finds it extremely difficult being a single parent.  parent noun [ C ] COMPANY  also parent company a company that owns one or more other companies母公司，总公司 The subsidiary has issued shares that are guaranteed by its parent.子公司发行的股票由母公司担保。 The parent company is expected to spend $50 million in advertising this year.母公司预计今年会投入5千万美元用于广告。       A parent is a mother or father. Your mom and your dad are your parents, and one of their jobs is to parent you.We're all born to parents, and many of us also have step parents, foster parents, or adoptive parents who parent us. You might also use parent to talk about plants and animals; maybe your new puppy's parents were dog show champions, for example. Things that act as the source or owner of something else are also parents, like a parent company that owns the local bookshop. The Latin root is parere, ""give birth to, produce.""parent: parentage, parental, parented, parenthood, parenting, parentless, parents/parentage: parentages/parental: parentally/parented: unparented    parent"
padlock   /ˈpædlɑːk/          n.挂锁；关闭；禁止进入vt.用挂锁锁上；关闭时态:padlocked, padlocking, padlocks挂锁 82%，用挂锁锁上 18%词性：名词 69%, 动词 31%	"padlock  /ˈpædlɑːk/       n.挂锁；关闭；禁止进入vt.用挂锁锁上；关闭时态:padlocked, padlocking, padlocks挂锁 82%，用挂锁锁上 18%词性：名词 69%, 动词 31%           I put a padlock on my journal so nobody can read my secrets!我在我的日记上挂了一把锁，这样就没人能读到我的秘密了！      lock, 锁, pad, 词义不详, 可能是来自 pannier(篮子, 筐)方言词.      noun [ C ]uk/ˈpæd.lɒk/ us/ˈpæd.lɑːk/   a small metal lock with a U-shaped bar挂锁，扣锁  verb [ T ]uk/ˈpæd.lɒk/ us/ˈpæd.lɑːk/   to fasten something using a padlock用挂锁把…锁上 The box was securely padlocked and no one had the key.箱子用挂锁牢牢地锁上了，没人有钥匙。       A lightweight lock that attaches using a pivoting hook is called a padlock. Many high school students use lockers that can be locked with padlocks to keep their smelly gym clothes safe.A padlock's hook or shackle is hinged so that it can fasten through an opening, clicking shut securely. Most padlocks require a key to open them, while others use a combination, a series of wheels that you turn and align to show a certain password before the padlock will open. You can use padlock as a verb, too: ""Be sure to padlock the back gate when you leave!""padlock: padlocked, padlocking, padlocks   padlock"
domed   /doʊmd/          adj.半球形的；有穹顶的v.在…上加穹顶；隆起成穹顶状（dome的过去分词）原型:domed 是 dome 的过去式和过去分词半球形的 64%，动词dome的过去式和过去分词形式. 12%，拱曲的 12%，圆屋顶的 12%	domed  /doʊmd/       adj.半球形的；有穹顶的v.在…上加穹顶；隆起成穹顶状（dome的过去分词）原型:domed 是 dome 的过去式和过去分词半球形的 64%，动词dome的过去式和过去分词形式. 12%，拱曲的 12%，圆屋顶的 12%                       adjectiveuk/dəʊmd/ us/doʊmd/   shaped like a dome or covered with a dome穹顶形的；有穹顶的          domed
distantly   /ˈdɪstəntli/          adv.远离地；疏远地；冷淡地遥远的 81%，疏远的 9%，远房的 6%，陌生的 3%，远行的 1%	distantly  /ˈdɪstəntli/       adv.远离地；疏远地；冷淡地遥远的 81%，疏远的 9%，远房的 6%，陌生的 3%，远行的 1%                       adverbuk/ˈdɪs.tənt.li/ us/ˈdɪs.tənt.li/  distantly adverb NOT CLOSE  far away遥远地，远远地 He heard, distantly, the sound of the sea.他远远地听到了大海的声音。 They're distantly related.他们是远亲。  distantly adverb NOT FRIENDLY  in an unfriendly way, showing no emotion冷漠地，冷冷地 Sam smiled distantly.萨姆冷冷地笑了笑。          distantly
phosphorylation   /fɒsfɒrɪˈleɪʃən/          n.[有化] 磷酸化作用磷酸化作用 100%	phosphorylation  /fɒsfɒrɪˈleɪʃən/       n.[有化] 磷酸化作用磷酸化作用 100%                                phosphorylation
petticoat   /ˈpetɪkoʊt/          n.衬裙；裙子adj.女性的衬裙 83%，女性的 17%	petticoat  /ˈpetɪkoʊt/       n.衬裙；裙子adj.女性的衬裙 83%，女性的 17%                 来自 petty, 小的, coat, 外套. 引申词义小衬裙.      noun [ C ]uk/ˈpet.ɪ.kəʊt/ us/ˈpet̬.ɪ.koʊt/ old-fashioned  a slip noun(UNDERWEAR) 女式衬裙（同 slip）       A petticoat is an old-fashioned piece of clothing that was commonly worn underneath a skirt at various periods in history. The last time petticoats were popular was in the 1950s and 60s.Petticoat has had a variety of meanings over the years. In North America, it's an undergarment worn at the waist beneath a long skirt, but in other countries it's also been used to mean any skirt or a visible layer over an existing skirt. During the mid-19th century, petticoats were used to give a huge amount of bulk and shape to the skirt. As the word implies, the original petticoats were actual coats worn under a knight's armor.petticoat: petticoats   petticoat
carmine   /ˈkɑːrmaɪn/          n.深红色；洋红色adj.深红色的；洋红色的深红色 42%，洋红色 22%，深红色的 18%，洋红色的 18%词性：形容词 55%, 名词 45%	carmine  /ˈkɑːrmaɪn/       n.深红色；洋红色adj.深红色的；洋红色的深红色 42%，洋红色 22%，深红色的 18%，洋红色的 18%词性：形容词 55%, 名词 45%                 来自 PIE *kwrmi, 虫. 原指古代用来提炼深红色染料的胭脂虫, 词源同 worm, crimson, kermes.      noun [ U ]uk/ˈkɑː.maɪn/ us/ˈkɑːr.maɪn/   a deep bright red colour深红，暗红          carmine
fabulously   /ˈfæbjələsli/          adv.难以置信地；惊人地难以置信地 50%，惊人地 50%	fabulously  /ˈfæbjələsli/       adv.难以置信地；惊人地难以置信地 50%，惊人地 50%                       adverbuk/ˈfæb.jə.ləs.li/ us/ˈfæb.jə.ləs.li/   extremely非常；极端；极其 fabulously rich/wealthy极富有          fabulously
pro-lifer             反堕胎的人反堕胎的人 100%	pro-lifer         反堕胎的人反堕胎的人 100%                                pro-lifer
adrenal   /əˈdriːnl/          n.肾上腺adj.肾上腺的肾上腺 95%，肾上腺的 5%词性：形容词 88%, 名词 12%	"adrenal  /əˈdriːnl/       n.肾上腺adj.肾上腺的肾上腺 95%，肾上腺的 5%词性：形容词 88%, 名词 12%                       adjectiveuk/əˈdriː.nəl/ us/əˈdriː.nəl/ specialized  used to refer to two glands situated above the kidneys (the adrenal glands)肾上的；肾旁的；肾上腺的       The adjective adrenal describes something near the kidneys. The adrenal glands control the release of stress hormones in the body.Adrenal is a scientific term describing a pair of endocrine glands that sit at the top of the kidneys in the human body. These glands control the way the kidneys work, as well as affecting stress hormones like adrenaline. The word adrenal, ""of or near the kidneys,"" comes from Latin roots: ad-, ""at or near,"" and renes, ""kidneys.""adrenal: adrenals   adrenal"
ably   /ˈeɪbli/          adv.巧妙地；精明能干地能干地 58%，巧妙地 42%	ably  /ˈeɪbli/       adv.巧妙地；精明能干地能干地 58%，巧妙地 42%                       adverbuk/ˈeɪ.bli/ us/ˈeɪ.bli/   skilfully熟练地；有技巧地 He performs his duties very ably.他做起工作来得心应手。          ably
beck   /bek/          n.招手；点头；（英）小河点头 50%，招手 50%	beck  /bek/       n.招手；点头；（英）小河点头 50%，招手 50%                 1. 小溪, 词源同 beach.      noun [ C ]uk/bek/ us/bek/ UK  Northern English a small river小溪，小河Synonymstream Idiom(s)at sb's beck and call         beck
beguiling   /bɪˈɡaɪlɪŋ/          adj.欺骗的；消遣的；令人陶醉的v.欺骗；使愉快地度过；迷住（beguile的ing形式）原型:beguiling 是 beguile 的现在分词欺骗的 49%，迷人的 42%，动词beguile的现在分词形式. 9%	"beguiling  /bɪˈɡaɪlɪŋ/       adj.欺骗的；消遣的；令人陶醉的v.欺骗；使愉快地度过；迷住（beguile的ing形式）原型:beguiling 是 beguile 的现在分词欺骗的 49%，迷人的 42%，动词beguile的现在分词形式. 9%                       adjectiveuk/bɪˈɡaɪ.lɪŋ/ us/bɪˈɡaɪ.lɪŋ/   interesting or attractive, but perhaps not to be trusted有趣的，迷人的 That's a beguiling argument, but I'm not convinced by it.那个论证很有意思，可是并没有把我说服。       Beguiling is an adjective that means ""highly attractive and tempting,"" like the beguiling model/actress on the cover of a celebrity magazine.Beguiling is often used to describe a person, like a beautiful girl, but can also be used when referring to a place or an inanimate object, like an Italian sports car. But be careful — sometimes beguiling things are meant to trick you, like the beguiling salesperson who acts like a friend, only to make a sale. In fact, beguiling contains the word guile, meaning ""deceit, fraud, ruse, trickery.""beguiling: beguilingly/beguile: beguiled, beguilement, beguiler, beguiles, beguiling/beguilement: beguilements/beguiler: beguilers    beguiling"
non-believer             n.没有信仰的人	non-believer         n.没有信仰的人                       noun [ C ]uk/ˌnɒn.bɪˈliː.vər/ us/ˌnɑːn.bɪˈliː.vɚ/   a person who has no religious beliefs无信仰者          non-believer
inclusiveness   /ɪnˈkluːsɪvnəs/          n.包容；包容性包含 ... 在内的 34%，包罗广泛的 33%，包括端点的 33%	inclusiveness  /ɪnˈkluːsɪvnəs/       n.包容；包容性包含 ... 在内的 34%，包罗广泛的 33%，包括端点的 33%                                inclusiveness
frisky   /ˈfrɪski/          adj.活泼的；欢闹的级别:friskier, friskiest活泼的 72%，有性要求的 14%，快活的 14%	frisky  /ˈfrɪski/       adj.活泼的；欢闹的级别:friskier, friskiest活泼的 72%，有性要求的 14%，快活的 14%           The frisky puppy loved to play.那个活泼的狗很喜欢玩耍。      →记1: frisky→frisk(n. 欢跃)+y→活泼的       adjectiveuk/ˈfrɪs.ki/ us/ˈfrɪs.ki/ informal  (of a person or an animal) liking to play or full of activity（人或动物）爱玩的，活泼好动的 It's a beautiful horse but a bit too frisky for an inexperienced rider.这匹马很漂亮，但对一个没经验的骑手来说有点儿太好动了。       The adjective frisky means playful or lively. Your frisky puppy likes to play tug-of-war with your socks, whether they're on or off your feet.Frisky is from the Middle English word frisk, which in turn was based on the Old French word frisque. In all cases, the words mean lively and merry. Frisky is often used to describe animals, but the term is also sometimes used as a mild euphemism for being playfully affectionate.frisky: friskier, friskiest, friskily, friskiness   frisky
fjord   /fjɔːrd/          n.[地理] 峡湾（等于fiord）名词 100%	fjord  /fjɔːrd/       n.[地理] 峡湾（等于fiord）名词 100%           Only a few fishermen live on this remote Norwegian fjord.在这个偏远的挪威峡湾，只有少数渔民居住。      来自挪威语. 来自 per, 向前, 穿过, 语源同 ford, firth.      noun [ C ]also fiord uk/fjɔːd/ us/fjɔːrd/   a long strip of sea between steep hills, found especially in Norway（尤指挪威的）峡湾       A fjord is a long, narrow strip of sea that falls between tall cliffs. If you’re traveling in Norway you might be amazed by the rocky cliffs surrounding the deepwater of a fjord.A fjord is formed when a slow moving glacier carves out a valley in the earth that then becomes flooded by ocean water. Tall cliffs surrounding a narrow band of water make fjords look very dramatic. Fjords are common in countries like Norway, Iceland, and Greenland. The word fjord gets its looks from its Norwegian origins. Pronounce this funny looking word with a long “e” sound and the accent on the first syllable: “FEE-ord.”fjord: fjords   fjord
granule   /ˈɡrænjuːl/          n.颗粒微粒 70%，小粒 30%	"granule  /ˈɡrænjuːl/       n.颗粒微粒 70%，小粒 30%           As each granule of sand passes through a sandglass, so does a moment of time.当每一粒沙子穿过沙漏时，时间的一瞬间也是如此。      →记1: granule→granu(=grain 颗粒)+le(小)→小颗粒 颗粒,细粒(gran+ule表示小东西)[gran=grain,表示""颗粒""] 微粒(grain颗粒)[-ule表名词""小…""]【记】gran＝grain颗粒 【参】granular（adj.由小粒而成的；粒状的）；granulate（v.成为粒状）      noun [ C ]uk/ˈɡræn.juːl/ us/ˈɡræn.juːl/   a small piece like a grain of something颗粒状物，颗粒，微粒 coffee granules咖啡粒       A teeny, tiny particle of something is a granule. If ants love to invade your kitchen, you'll need to carefully clean up every last granule of the sugar you spilled on the floor.In geology, a granule is actually a specific, measurable amount. It's between two and four millimeters — larger than a grain of sand, but smaller than a pebble. In everyday use, a granule is just a very small piece of something. If your little brother is especially sensitive, he may insist on periodically stopping during a hike to empty granules of gravel out of his sneakers. Granule comes from the Late Latin granulum, ""small grain.""granule: granules   granule"
inquisitor   /ɪnˈkwɪzɪtər/          n.检察官；询问者；审问者检察官 42%，询问者 33%，审问者 25%	"inquisitor  /ɪnˈkwɪzɪtər/       n.检察官；询问者；审问者检察官 42%，询问者 33%，审问者 25%                 词源同 inquisition, 盘问, 责难.      noun [ C ]uk/ɪnˈkwɪz.ɪ.tər/ us/ɪnˈkwɪz.ɪ.t̬ɚ/ formal disapproving  someone who asks a lot of questions调查人；询问者；盘问者 The prime minister found himself arraigned before the media inquisitors.首相发现自己遭到媒体记者的责问。       Inquisitor is what you call someone who asks questions in an aggressive way, like a prosecutor in a courtroom, or a parent who wants to know everything you did last night.This word comes from 4th century Rome, where the Church hired religious detectives, called Inquisitors, to root out people who disobeyed the Church's rules. So inquisitors have always been aggressive, even though there's nothing particularly harsh or aggressive about the Latin root quærere, which simply means ""ask"" or ""seek.""inquisitor: inquisitorial, inquisitors/inquisitorial: inquisitorially    inquisitor"
veg   /vedʒ/          n.蔬菜vi.虚度休闲 100%	veg  /vedʒ/       n.蔬菜vi.虚度休闲 100%                       noun [ U or plural ]uk/vedʒ/ us/vedʒ/ UK informal  vegetables蔬菜 a fruit and veg stall水果蔬菜摊 He still prefers the old-fashioned British meal of meat and two veg.他依然喜欢吃那种一荤两素的老式英国餐。          veg
linearly   /ˈlɪniərli/          adv.成直线地；在线上地成直线地 50%，线性地 50%	linearly  /ˈlɪniərli/       adv.成直线地；在线上地成直线地 50%，线性地 50%                                linearly
swanky   /ˈswæŋki/          n.活跃的帅小伙子adj.炫耀的；时髦的；爱出风头的级别:swankier, swankiest时髦的 55%，爱出风头的 21%，炫耀的 18%，漂亮 6%	"swanky  /ˈswæŋki/       n.活跃的帅小伙子adj.炫耀的；时髦的；爱出风头的级别:swankier, swankiest时髦的 55%，爱出风头的 21%，炫耀的 18%，漂亮 6%                 swank, 炫耀, 卖弄, -y, 形容词后缀.      adjectiveuk/ˈswæŋ.ki/ us/ˈswæŋ.ki/   informal US also swank very expensive and fashionable, in a way that is intended to attract people's attention and admiration时髦而奢华的 We stayed in a swanky hotel.我们住在一家奢华的酒店。 UK disapproving behaving too confidently自负的，夸耀的，卖弄的 I'm sick of his swanky talk.我讨厌他自吹自擂。       Swanky things are fancy and stylish, like a swanky hotel lobby with sparkling chandeliers, plush furniture, and elegant guests.You can also call swanky things ritzy or classy. They're expensive and luxurious, like a swanky car, a swanky apartment building with a doorman, or a swanky neighborhood where only movie stars can afford to live. The adjective swanky comes from its less-common synonym swank, which stems from the now-obsolete verb swank, ""to behave ostentatiously.""swanky: swankier, swankiest, swankily/swank: swanked, swanker, swankest, swanking, swankly, swanks, swanky    swanky"
switchback   /ˈswɪtʃbæk/          n.在Z形路轨向原来的方向返驶；改变角度；之字形路adj.曲折的；起伏不平的vi.蜿蜒而行；采取迂回方针改变角度 51%，在Z形路轨向原来的方向返驶 33%，之字形路线 16%	switchback  /ˈswɪtʃbæk/       n.在Z形路轨向原来的方向返驶；改变角度；之字形路adj.曲折的；起伏不平的vi.蜿蜒而行；采取迂回方针改变角度 51%，在Z形路轨向原来的方向返驶 33%，之字形路线 16%                       noun [ C ]uk/ˈswɪtʃ.bæk/ us/ˈswɪtʃ.bæk/   a path, road, or railway that forms very sharp bends from one direction to almost the opposite direction as it goes up and down steep slopes之字形的路，急转弯的路          switchback
sportscaster   /ˈspɔːrtskæstər/          n.担任比赛实况转播或说明的广播员担任比赛实况转播或说明的广播员 100%	sportscaster  /ˈspɔːrtskæstər/       n.担任比赛实况转播或说明的广播员担任比赛实况转播或说明的广播员 100%                       noun [ C ]uk/ˈspɔːtsˌkɑː.stər/ us/ˈspɔːrtsˌkæs.t̬ɚ/ mainly US  someone who appears on television or radio, giving information and news about sports events（电视台或电台的）体育节目播音员，体育节目解说员          sportscaster
treasonous   /ˈtriznəs/          adj.叛逆的；谋反的；犯叛国罪的叛逆的 43%，谋反的 23%，犯叛国罪的 23%，=treasonable. 11%	"treasonous  /ˈtriznəs/       adj.叛逆的；谋反的；犯叛国罪的叛逆的 43%，谋反的 23%，犯叛国罪的 23%，=treasonable. 11%                             Anything treasonous involves a betrayal, particularly of your country. Your sister might consider it treasonous if you tell your parents she skipped school to go to the beach.When we betray our friends or families, that's personally treasonous. To betray your country is legally treasonous, since it's a punishable crime. It would be treasonous for a CIA agent to hand over U.S. secrets to an enemy spy—and the root of treasonous is the Latin verb tradere, ""to hand over or betray.""treasonous: treasonously/treason: treasonable, treasonist, treasonous, treasons/treasonable: treasonablest, treasonably/treasonist: treasonists    treasonous"
transformed    /trænsˈfɔrm/           transform的变形原型:transformed 是 transform 的过去式和过去分词转换 51%，改变 48%，改变；变形；变态 1%	"transformed   /trænsˈfɔrm/        transform的变形原型:transformed 是 transform 的过去式和过去分词转换 51%，改变 48%，改变；变形；变态 1%                             Transformed things are different than they once were. Think of the transformed appearance of a winged butterfly who used to be a poky caterpillar.The robots called Transformers are a clue to what this word means — they change themselves into different shapes. Something transformed has become different from what it was: a transformed arena where people ice skate but once played basketball; a transformed hair model after a good dye job. When you see the word transformed, think ""changed.""transform: transformable, transformation, transformed, transformer, transforming, transforms/transformation: transformations/transformer: transformers    transformed"
non-lethal             adj.非致死的，不致死的n.非杀；非致死浓度不致死的 100%	non-lethal         adj.非致死的，不致死的n.非杀；非致死浓度不致死的 100%                                non-lethal
godforsaken   /ˈɡɑːdfərseɪkən/          adj.倒霉的；堕落的；凄凉的凄凉的 55%，荒芜的 27%，偏远的 18%	godforsaken  /ˈɡɑːdfərseɪkən/       adj.倒霉的；堕落的；凄凉的凄凉的 55%，荒芜的 27%，偏远的 18%                 来自 god 和 forsaken 的合成词, 即上帝遗忘之地.      adjective [ before noun ]uk/ˈɡɒd.fə.seɪ.kən/ us/ˈɡɑːd.fɚ.seɪ.kən/ disapproving  A godforsaken place is not attractive and contains nothing interesting or pleasant.（地方）乏味的；沉闷的；丑陋的 The town is a godforsaken place at night.这个城镇到了晚上就死气沉沉的。          godforsaken
