#separator:tab
#html:false
anti-government             adj.反对政府的	anti-government         adj.反对政府的                                anti-government
cadaver   /kəˈdævər/          n.[医] 尸体；死尸尸体 87%，死尸 13%	"cadaver  /kəˈdævər/       n.[医] 尸体；死尸尸体 87%，死尸 13%           A white sheet was put over the lifeless cadaver.一张白色的床单被盖在没有生命的尸体上。      →记1: cadaver→cad(倒下)+aver(v. 断言)→断言要倒下的东西→尸体 →参考: cadaverous(a. 死人般的, 惨白的), cascade(n.小瀑布)；corpse(n. 尸体)来自词根 cid, 掉落, 此处抽象为死亡. 词源同 case, accident.【记】cad＝fall倒下－倒下的人－尸体cad无赖，aver断言－无赖说的话不能算数－象死人的话一样。Cad＝cab出租车，a一，ver读：味儿：出租车里有一股味道－谋杀完别人就可以把他扔到出租车里，所以这是死尸味道。 【参】decadent（adj.颓废的）；cadence（n.节奏）      noun [ C ]uk/kəˈdæv.ər/ us/-ɚ/ specialized  a dead human body尸体，死尸       A cadaver is a dead human body used in scientific or medical research. If you are dead, you are a corpse, but if Dr. Frankenstein robs your grave so he can use your body for research, you become a cadaver. Umm... congratulations?Cadaver comes from the Latin verb, cadere, which means “to fall."" Its English origins refer to soldiers who died in battle, i.e. the fallen. Dissection of a cadaver is a major rite of passage for medical school students––some have been known to run from the room and throw up — though most surprise themselves.cadaver: cadaveric, cadaverous, cadavers/cadaverous: cadaverously    cadaver"
speeding   /ˈspiːdɪŋ/          n.超速行驶v.促进（speed的ing形式）adj.高速行驶的原型:speeding 是 speed 的现在分词超速行驶 72%，高速行驶的 28%词性：形容词 91%, 名词 9%	speeding  /ˈspiːdɪŋ/       n.超速行驶v.促进（speed的ing形式）adj.高速行驶的原型:speeding 是 speed 的现在分词超速行驶 72%，高速行驶的 28%词性：形容词 91%, 名词 9%                       noun [ U ]uk/ˈspiː.dɪŋ/ us/ˈspiː.dɪŋ/   driving faster than is allowed in a particular area超速行驶 She was fined for speeding last month.她上个月因为超速驾车被罚了款。          speeding
commemorative   /kəˈmeməreɪtɪv/          adj.纪念的纪念的 100%词性：形容词 96%, 名词 4%	"commemorative  /kəˈmeməreɪtɪv/       adj.纪念的纪念的 100%词性：形容词 96%, 名词 4%                             Anything that acts as a memorial to something or someone is commemorative — whether it's an action like a charity walk or an object like a war memorial.Certain commemorative objects are known simply as commemoratives. Think, for example, of the Elvis Presley commemorative stamps your Dad keeps in his sock drawer (he was young once), or the commemorative coins minted for such events as the inauguration of a new President or the moon landing. See late night TV in particular for ""special commemorative offers.""commemorative: commemoratively, commemoratives/commemorate: commemorated, commemorates, commemorating, commemoration, commemorative/commemoration: commemorations    commemorative"
salamander   /ˈsæləmændər/          n.火蜥蜴；蝾螈目动物；耐火的人；烤箱蝾螈 68%，火蜥蜴 25%，能耐高温的物件 7%	salamander  /ˈsæləmændər/       n.火蜥蜴；蝾螈目动物；耐火的人；烤箱蝾螈 68%，火蜥蜴 25%，能耐高温的物件 7%                 来自拉丁语 salamandra, 来自希腊语 salamandra, 蝾螈, 一种传说中不怕火的蜥蜴.   salamander 14 65 Fish and Reptiles A. Fish  1. sea horse  2. trout  3. swordfish  3a. tail  3b. fin  3c. gill  4. eel  5. shark  6. stingray  7. flounder B. Amphibians and Reptiles  8. alligator  9. (garter) snake  10. rattlesnake  11. cobra  12. turtle  13. iguana  14. salamander  15. lizard  16. tadpole  17. frog  18. tortoise  18a. shell   noun [ C ]uk/ˈsæl.ə.mæn.dər/ us/ˈsæl.ə.mæn.dɚ/   a small animal that looks like a lizard but has soft skin and lives both on land and in water蝾螈       A salamander is a small amphibian that looks a lot like a lizard and lives mainly on land. They look cute in a terrarium and less cute on your bathroom floor.Originally, the salamander was believed to have an amazing ability: that it could survive fire, and some said it lived in fire. That turned out to be a myth, but the salamander does possess the ability to live on land or in water, because it is an amphibian. Salamanders look a lot like lizards and a little like newts. They live most of the time on the land and only go into water when it's time to breed.salamander: salamanders   salamander
slosh   /slɑːʃ/          n.泥泞；溅泼声vt.搅动，晃动；把……泼溅出vi.溅，泼；在泥中荡时态:sloshed, sloshing, sloshes搅动 49%，在泥中荡 19%，泼溅 14%，雪泥 9%，泼溅声 9%词性：动词 93%, 名词 7%	"slosh  /slɑːʃ/       n.泥泞；溅泼声vt.搅动，晃动；把……泼溅出vi.溅，泼；在泥中荡时态:sloshed, sloshing, sloshes搅动 49%，在泥中荡 19%，泼溅 14%，雪泥 9%，泼溅声 9%词性：动词 93%, 名词 7%                       verb [ I or T,  usually + adv/prep ]uk/slɒʃ/ us/slɑːʃ/ informal  (of a liquid) to move around noisily in the bottom of a container, or to cause liquid to move around in this way by making rough movements（液体在容器底部）哗啦哗啦地翻动；使晃荡；使溅泼 I could hear you sloshing around in the bath.我能听见你在浴缸里哗啦哗啦洗澡的声音。 We sloshed through the puddles.我们哗啦哗啦地涉过水坑。 She sloshed (= poured without care) some more brandy into her glass.她往杯子里又胡乱倒了些白兰地。       When liquid things slosh, they move with a splash. If you stumble as you're carrying a cup of coffee to the table, your coffee may slosh over the edge of the cup.Only something that's wet can slosh — water might slosh around in the bottom of a leaky rowboat, and soapsuds can slosh in a bathtub when a happy kid gets in. You can slosh tea into a mug, or slosh through puddles in your rain boots. The 1800's meaning of slosh was ""slush or sludge,"" and the Middle English definition was ""muddy place,"" probably from a combination of slush and slop.slosh: sloshed, sloshes, sloshing   slosh"
jurist   /ˈdʒʊrɪst/          n.法学家；法官；律师；法律著作家法学家 75%，法律著作家 11%，法理学者 11%，法律工作者 3%	"jurist  /ˈdʒʊrɪst/       n.法学家；法官；律师；法律著作家法学家 75%，法律著作家 11%，法理学者 11%，法律工作者 3%                 来自 jury, 陪审团, -ist, 人. 即陪审团成员, 有法律知识的人, 引申词义法学家, 法律学专家.      noun [ C ]uk/ˈdʒʊə.rɪst/ us/ˈdʒʊr.ɪst/ specialized  an expert in law, especially a judge法学家；法律专家；（尤指）法官       A jurist is someone who is an expert in details of the legal system. Sometimes the word jurist is used to refer specifically to a lawyer or judge. If you love the law, you might want to be a jurist one day.If you become a jurist, you'll be a scholar who has studied the details and theories of law. You might work as a newspaper's legal expert or a college professor. In the U.S., it's common to refer to a judge or another legal professional as a jurist. So you might describe the Chief Justice of the Supreme Court as the top jurist in the country. Jurist comes from the Latin ius, ""a right or a law.""jurist: jurisprudence, juristic, jurists/jurisprudence: jurisprudential    jurist"
betrayed   /bɪˈtreɪd/          v.出卖，背叛（betray的过去分词形式）原型:betrayed 是 betray 的过去式和过去分词背叛 59%，出卖 29%，泄露 7%，显露 5%	betrayed  /bɪˈtreɪd/       v.出卖，背叛（betray的过去分词形式）原型:betrayed 是 betray 的过去式和过去分词背叛 59%，出卖 29%，泄露 7%，显露 5%                                betrayed
weight-loss             un.失重；干耗；重量损失；体重减轻[网络]减肥；减肥的；瘦身的	weight-loss         un.失重；干耗；重量损失；体重减轻[网络]减肥；减肥的；瘦身的                                weight-loss
changing   /ˈtʃeɪndʒɪŋ/          n.改变；转换；替换v.改变（change的ing形式）；交换；兑换adj.变化的；发展的原型:changing 是 change 的现在分词换车 43%，变更 36%，兑换 21%词性：形容词 95%, 名词 5%	"changing  /ˈtʃeɪndʒɪŋ/       n.改变；转换；替换v.改变（change的ing形式）；交换；兑换adj.变化的；发展的原型:changing 是 change 的现在分词换车 43%，变更 36%，兑换 21%词性：形容词 95%, 名词 5%                 正在变化的(change变化)[-ing 1.表名词""状态""2.表名词""行业""3.表形容词""正…的"",""令人…的""]      adjectiveuk/ˈtʃeɪn.dʒɪŋ/ us/ˈtʃeɪn.dʒɪŋ/   in a state of becoming different变化中的；改变中的 the rapidly changing world of politics正在迅速变化的政治世界 changing attitudes towards childcare对儿童保育不断变化的看法 changing circumstances变化中的情况More examplesChanging working patterns mean more flexibility.Our changing eating habits are causing doctors concern.He was entranced by the changing shape of her body during pregnancy.Your finances have to be able to adapt to your changing needs throughout your life.       Use the adjective changing to describe something that doesn't stay the same, but continually alters or changes with time.When you talk about the changing seasons, you're referring to the dynamic movement from fall to winter and winter to spring — along with all the differences between one season and the next. You could also describe the changing population of your city, in flux and undergoing constant shifts and variations. Changing comes from the verb change, with its Old French root changier, ""to alter, exchange, or switch,"" and ultimately from the Latin cambire, ""to exchange or barter.""changing: changingly, unchanging/change: changeable, changed, changeful, changeless, changer, changes, changing, counterchange, interchange/changeable: changeability, changeableness, changeablest, changeably, unchangeable/changed: unchanged/changeful: changefully, changefulness/changeless: changelessly, changelessness/changer: changers/counterchange: counterchanged, counterchanges, counterchanging/interchange: interchangeable, interchanged, interchanges, interchanging/interchangeable: interchangeability, interchangeableness, interchangeably, noninterchangeable/unchangeable: unchangeability, unchangeableness, unchangeably/unchanged: unchangedly/unchanging: unchangingly, unchangingness    changing"
feta   /ˈfetə/          n.羊乳酪羊乳酪 100%	feta  /ˈfetə/       n.羊乳酪羊乳酪 100%                       noun [ U ]uk/ˈfet.ə/ us/ˈfet̬.ə/   a white Greek cheese, usually made from sheep's or goat's milk羊奶酪（一种希腊白奶酪，通常由山羊或绵羊奶制成） feta cheese羊奶酪          feta
gynecologist   /ˌɡaɪnəˈkɑːlədʒɪst/          n.妇科医生妇科医生 100%	gynecologist  /ˌɡaɪnəˈkɑːlədʒɪst/       n.妇科医生妇科医生 100%           Every woman should see a gynecologist regularly to make sure she's healthy.每个妇女都应该定期看妇科医生，以确保她的健康。      [见上,-ist人]妇科医生[女(1)gyn(o);gynec(o)(2)fem;femin]               gynecologist
righty   /ˈraɪti/          n.右派，保守派adj.右派的；用右手的adv.用右手地右派 32%，用右手的 26%，右派的 21%，保守派 21%	righty  /ˈraɪti/       n.右派，保守派adj.右派的；用右手的adv.用右手地右派 32%，用右手的 26%，右派的 21%，保守派 21%                                righty
poetics   /poʊˈetɪks/          n.诗学；诗论；诗情原型:poetics 是 poetic 的复数诗学 97%，写诗的章法 2%，诗学论文 1%	"poetics  /poʊˈetɪks/       n.诗学；诗论；诗情原型:poetics 是 poetic 的复数诗学 97%，写诗的章法 2%，诗学论文 1%                             The theory of literary techniques involved in composing verse and prose is known as poetics. If you study poetics in college, you'll read, talk, and think about a lot of literature.Poetics goes back to the Greek poietikos, ""pertaining to poetry,"" or literally, ""productive or creative."" While poetry is evident in this word, you can use it  to describe a deep study of any kind of literary work. When it's capitalized, Poetics usually refers to the title of a work by the ancient Greek philosopher Aristotle, which is the earliest known Western work of literary theory.poetics    poetics"
insulated   /ˈɪnsəleɪtɪd/          v.使…绝缘（insulate的过去式）adj.[电] 绝缘的；隔热的原型:insulated 是 insulate 的过去式和过去分词绝缘的 68%，隔热的 24%，动词insulate的过去式和过去分词. 8%	insulated  /ˈɪnsəleɪtɪd/       v.使…绝缘（insulate的过去式）adj.[电] 绝缘的；隔热的原型:insulated 是 insulate 的过去式和过去分词绝缘的 68%，隔热的 24%，动词insulate的过去式和过去分词. 8%                                insulated
glassy   /ˈɡlæsi/          adj.像玻璃的；光亮透明的；呆滞的级别:glassier, glassiest如镜的 53%，呆滞的 47%	"glassy  /ˈɡlæsi/       adj.像玻璃的；光亮透明的；呆滞的级别:glassier, glassiest如镜的 53%，呆滞的 47%                       adjectiveuk/ˈɡlɑː.si/ us/ˈɡlæs.i/  glassy adjective SURFACE  literary A glassy surface is smooth and shiny, like glass.（表面）光亮的，光滑的 a glassy sea/lake明净的海面／湖面  glassy adjective EYES  If someone's eyes are glassy, they have a fixed expression and seem unable to see anything.（目光）呆滞的，木然的 Her eyes were glassy and her skin pale.她目光呆滞，面色苍白。       If your eyes are glassy, they're lifeless, glazed and emotionless. A stuffed teddy bear has glassy eyes, and so does an overtired toddler.You might spend a glassy-eyed hour every morning before you've completely woken up and are ready to start your day. You can also describe shiny, glossy substances as glassy: ""The glassy surface of the ice-covered sidewalk made her walk with tiny, careful steps."" Glassy comes from the Old English glæs, ""glass,"" and its Proto-Indo-European root ghel-, ""to shine.""glassy: glassier, glassiest, glassily/glass: glass-like, glassed, glassful, glassing, glassless, glassy/glassful: glassfuls    glassy"
retrofit   /ˈretroʊfɪt/          n.式样翻新；花样翻新vt.改进；[计] 更新；式样翻新时态:retrofitted, retrofitting, retrofits翻新 54%，改进 46%词性：动词 62%, 名词 38%	retrofit  /ˈretroʊfɪt/       n.式样翻新；花样翻新vt.改进；[计] 更新；式样翻新时态:retrofitted, retrofitting, retrofits翻新 54%，改进 46%词性：动词 62%, 名词 38%                 retro-, 向后, fit, 匹配, 装配. 引申词义翻新, 改造.      verb [ T ]uk/ˈret.rəʊ.fɪt/ us/ˈret.rə.fɪt/ -tt-  to provide a machine with a part, or a place with equipment, that it did not originally have when it was built使（机器）改型翻新，升级改造 A state program to retrofit engines with pollution controls has succeeded in reducing pollution from trains.州政府对引擎加装污染控制系统的计划成功地降低了火车的污染状况。  noun [ C ]uk/ˈret.rəʊ.fɪt/ us/ˈret.rə.fɪt/   an occasion when a machine or place is retrofitted（机器）改型翻新，升级改造 Many hospitals are struggling to pay for the retrofits.许多医院都缺乏升级改造的经济能力。       When you retrofit something, you replace old parts with new ones. You might retrofit an antique car with updated brakes and seat belts, for example.You can use retrofit as a verb, or it can be a noun meaning the new part itself, or something that's added on later. The solar panels on your two hundred year old house are a retrofit, and so is the fancy new stereo in your beat up old car. Retrofit has been around since the mid-1950s, when retroactive and refit were combined into a new word.retrofit: retrofits, retrofitted, retrofitting   retrofit
desolation   /ˌdesəˈleɪʃn/          n.荒芜；忧伤；孤寂；废墟荒凉 40%，凄凉 26%，荒芜 19%，孤寂 15%	"desolation  /ˌdesəˈleɪʃn/       n.荒芜；忧伤；孤寂；废墟荒凉 40%，凄凉 26%，荒芜 19%，孤寂 15%                 荒芜,荒凉(desolate＋ion)[Sol=alone,表示""单独""]      noun [ U ]uk/ˌdes.əlˈeɪ.ʃən/ us/ˌdes.əlˈeɪ.ʃən/  desolation noun [ U ] EMPTINESS  the state of a place that is empty or where everything has been destroyed荒芜；荒废；荒凉 a scene of desolation荒凉的景象  desolation noun [ U ] SADNESS  the state of feeling sad and alone孤寂；伤心寂寞 a feeling of utter desolation万分凄凉之感       Desolation is emptiness and hopelessness. It can describe a poor, dirty, treeless town or a broken heart.Desolation is depressing and bleak. People arriving at the scenes of natural disasters, like tornadoes, often speak about the desolation around them. They usually are talking about the destruction, but they also implying a sense of emptiness and hopelessness. Other times desolation describes bleak, ugly landscapes: cold, snowy, lonely towns in New Hampshire or hot, dusty, empty towns in Nevada. You know desolation when you see it, because you feel hollow and lonely inside.desolation: desolations/desolate: desolated, desolately, desolates, desolating, desolatingly, desolation    desolation"
sell   /sel/          n.销售；失望；推销术vt.销售；推销；出卖；欺骗vi.卖；出售；受欢迎；有销路时态:sold, selling, sells卖 70%，出售 30%词性：动词 99%, 名词 1%	"sell  /sel/       n.销售；失望；推销术vt.销售；推销；出卖；欺骗vi.卖；出售；受欢迎；有销路时态:sold, selling, sells卖 70%，出售 30%词性：动词 99%, 名词 1%           This man’s job is to sell houses.这个人的工作是卖房子。      来自古英语 sellan, 供应, 提供, 移交, 来自 Proto-Germanic*saljan, 提供, 交付, 来自 sel, 持有, 握住, 词源同 sale. 后引申词义出售, 销售, 原词义逐渐退出使用.v.卖,出售The cell seller seldom sees the bell belt melt.小单间的卖主很少见到铃铛带子融化.      verbuk/sel/ us/sel/ sold, sold sell verb MONEY A2 [ I or T ] to give something to someone else in return for money卖，出售 [ + two objects ] I sold him my car/I sold my car to him for $600.我把车以600美元的价钱卖给了他。 We'll be selling the tickets at/for £50 each.我们每张票将卖50英镑。 The stall sells drinks and snacks.这个摊位卖饮料和小吃。A2 [ I or T ] to be bought in the way or quantities that are mentioned; to be sold at the price mentioned 被以（…方式／数量／价格）购买 These baskets sell well (= a lot of them are bought).这些篮子卖得很好。 Their last album sold over a hundred thousand copies.他们的最新唱片卖出了超过10万张。 How much does the phone sell for?这部电话卖多少钱？  sell verb PERSUADE C2 [ T ] to persuade someone that an idea or plan is a good one and likely to be successful说服；使接受 My boss is very old-fashioned and I'm having a lot of trouble selling the idea of working at home occasionally.我的上司很守旧，我要费好大的劲才能使他相信偶尔在家里工作是个不错的主意。 The filmmakers sold me on the idea that my book would work on the screen.这位电影人士说服了我，让我相信我的小说可以搬上银幕。 [ + two objects ] The chance of greater access to European markets would help sell the president the plan/sell the plan to the president.有机会更进一步打入欧洲市场将能说服总统接受这个计划。 In an interview, you have to sell yourself to the employer. 在面试时，你必须想办法打动雇主。 Idiom(s)sell sb a bill of goodssell sb down the riversell sb/yourself/sth shortsell your soul (to the devil)Phrasal verb(s)sell sth offsell outsell (sb) outsell up      To sell is to exchange a thing or a service for money. You could sell lemonade from a table on the sidewalk, or sell hotdogs at a baseball game.When a business or store carries certain products for purchase, they sell those things; a car lot sells automobiles, and a bookstore sells books and magazines. Sometimes people say that an item ""sells at"" or ""sells for"" a certain price: ""Normally, those candy bars sell for a dollar each."" When something sells out, it's totally gone, but when a person sells out, they give up their principles for money or popularity.sell: resell, sellable, seller, selling, sells, undersell/resell: reselling, resells/selling: sellings/undersell: underseller, underselling, undersells, undersold/underseller: undersellers    sell"
boisterous   /ˈbɔɪstərəs/          adj.喧闹的；狂暴的；猛烈的喧闹的 67%，狂暴的 33%	"boisterous  /ˈbɔɪstərəs/       adj.喧闹的；狂暴的；猛烈的喧闹的 67%，狂暴的 33%           My daughter's friends are too loud and boisterous for me.我女儿的朋友对我来说太吵了，太闹了。      →记1: boisterous→boi(=boy 男孩)+sterous→好多男孩子的→喧闹的 词源不详. 可能来自 beast, 野兽, 或 boast, 吹嘘.【根】boister（粗鲁的，粗暴的，喧闹），ous多－喧闹的，狂暴的 【记】boi＝boil（v.沸腾）－水沸腾的感觉－喧闹的，狂暴的 【参】preposterous（adj.荒谬的） 【反】quiet（adj.安静的）      adjectiveuk/ˈbɔɪ.stər.əs/ us/ˈbɔɪ.stɚ.əs/   noisy, energetic, and rough喧闹的；精力旺盛的 boisterous children爱吵闹的孩子们 a boisterous game激烈的游戏       Boisterous is a word used to describe someone spirited, loud, and slightly out of control — like someone with a spring in their step and a song in their heart singing to strangers on the  street.Boisterous means ""loud, clamorous, and unrestrained."" Think of children on a playground or a lively party or a litter of puppies as boisterous. This word, which comes from Middle English, can also refer to very intense storms. You could call a hurricane boisterous, but you will most likely hear this word used to describe people.boisterous: boisterously, boisterousness   boisterous"
multi-ethnic    /ˈmʌltaɪˌeθnɪk/           多种族的多民族的多种族的 100%	multi-ethnic   /ˈmʌltaɪˌeθnɪk/        多种族的多民族的多种族的 100%                       adjectiveuk/ˌmʌl.tiˈeθ.nɪk/ us/ˌmʌl.tiˈeθ.nɪk/   consisting of, or relating to various different races由不同种族组成的；涉及不同种族的 Britain is a multi-ethnic society, with many black and Asian people.英国是个多种族的社会，有许多黑人和亚洲裔人。          multi-ethnic
frailty   /ˈfreɪlti/          n.虚弱；弱点；意志薄弱脆弱 46%，弱点 27%，虚弱 22%，意志薄弱 5%	"frailty  /ˈfreɪlti/       n.虚弱；弱点；意志薄弱脆弱 46%，弱点 27%，虚弱 22%，意志薄弱 5%                 脆弱,意志薄弱(frail+ty)[fract,frang=break,表示""打碎""] 脆弱(frail脆弱的)[-ty表名词,用在形容词后,把形容词变成名词]【类】limber:flexibility＝spindly:frailty柔软的有柔软性＝脆弱的有脆弱性 【反】hardness（n.硬；艰难）      nounuk/ˈfreɪl.ti/ us/ˈfreɪl.t̬i/   [ U ] weakness and lack of health or strength脆弱；虚弱 Though ill for most of her life, physical frailty never stopped her from working.尽管她一生中大部分时间都病魔缠身，但身体上的虚弱从未使她停止工作。 [ C or U ] moral weakness（道德上的）弱点，缺点 Most of the characters in the novel exhibit those common human frailties - ignorance and greed.这部小说中的大多数人物都显露出了人类共同的弱点——无知和贪婪。 Tolerant of human frailty in whatever form, she almost never judged people.她对人性的各种弱点都能够包容，几乎从不评价他人。       Frailty describes a quality that's shared by a sick kitten, an elderly man, and a shoddily built go cart. They all have a delicate weakness or vulnerability and seem to require some kind of care.The Old French fraileté, or ""weakness"" is the root of frailty, and it in turn comes from the Latin word for ""fragile,"" fragilis. What's interesting is that ""fragility"" was used in the 14th century to mean a kind of moral, rather than physical, weakness. Today frailty can be used this way too, to describe a state of having shaky — or fragile — morals.frailty: frailties   frailty"
non-Christian             [网络]非基督徒；非基督教的；非基督信徒	non-Christian         [网络]非基督徒；非基督教的；非基督信徒                                non-Christian
flaky   /ˈfleɪki/          adj.薄片的；薄而易剥落的；古里古怪的级别:flakier, flakiest薄片的 24%，疯疯癫癫的 24%，易剥落的 24%，古里古怪的 20%，成层的 8%	flaky  /ˈfleɪki/       adj.薄片的；薄而易剥落的；古里古怪的级别:flakier, flakiest薄片的 24%，疯疯癫癫的 24%，易剥落的 24%，古里古怪的 20%，成层的 8%                 来自 flake, 薄片, 碎片.      adjectivealso flakey uk/ˈfleɪ.ki/ us/ˈfleɪ.ki/  flaky adjective IN SMALL PIECES  coming off easily in small, flat, thin pieces易碎成小薄片的；易脱落的 dry, flaky skin干燥易脱皮的皮肤 a flaky scalp易脱皮屑的头皮  flaky adjective PERSON  mainly US informal behaving in a way that is not responsible or expected疯疯癫癫的；不靠谱的；古怪的 The central character of the play is a flaky neurotic.该剧的中心人物是一个疯疯癫癫的神经质的人。       If you are flaky, you are off-beat and you probably don’t function in society quite like everyone else. If you say you’ll come to a party and then forget to show up, you are flaky.People are flaky (also spelled flakey) if they are wacky and unconventional, but to say someone is flaky is not really a compliment. If you want to buffer the blow of calling your friend an odd-ball, don’t say she’s flaky — say she’s eccentric. Pie crusts, snow, certain rocks, and dandruff can also be flaky, which means that they come apart in layered bits. Flakiness is a good thing for pie crusts, but not for your scalp.flaky: flakier, flakiest, flakily/flake: flaked, flakes, flakey, flaking, flaky/flakey: flakiness    flaky
inane   /ɪˈneɪn/          adj.空洞的，空虚的；愚蠢的愚蠢的 41%，无意义的 37%，空虚的 22%	"inane  /ɪˈneɪn/       adj.空洞的，空虚的；愚蠢的愚蠢的 41%，无意义的 37%，空虚的 22%           Our inane boyfriends never have anything interesting to say.我们无趣的男友从来没有什么有趣的事情可说。      →记1: inane→Annie(n. 安妮)→无聊的安妮 →参考: inanity(n. 空虚, 无聊), insane(a. 疯狂的)来自拉丁语 inanis, 空的, 虚无的, 可能来自 in-, 不, 非, -anis, 一, 词源同 one. 引申词义空无一物的, 无意义的, 愚蠢的.【记】I一个，nan男，e：一个男的呆着有什么意义？ 【参】inanity（n.无意义；空虚；愚蠢） 【类】obsessed:attracted＝rash:adventurous『inane:clumsy』迷住的就是吸引的＝轻率的就是喜欢冒险的 【反】meaningful（adj.意味深长的）；pregnant（adj.有意义的；怀孕的）substantiated（adj.实体的）；expressive（adj.有表现力的）；significant（adj.有意义的）；weighty（adj.重的，重要的）      adjectiveuk/ɪˈneɪn/ us/ɪˈneɪn/   extremely silly or with no real meaning or importance极其愚蠢的；无意义的；无聊的 He's always making inane remarks.他老是发表愚蠢空洞的言论。 There are too many inane quiz shows on television these days.现在电视中无聊的智力竞答节目太多。       If something is inane, it's silly or senseless. If you just want to space out, you won't mind the inane chatter on TV, as long as it's on.Inane comes from the Latin inanis, for empty, and you can think of it as empty-headed.  We call something inane if it states the obvious, or is really silly in a way that seems unintelligent. If you give your boss a presentation in a bunny suit and sing a song about being happy, she might say, ""Get out of here with your inane bunny act!""  Other synonyms are stupid, vacuous, ridiculous, pointless.inane: inanely, inanest, inanity/inanity: inanities    inane"
sizeable   /ˈsaɪzəb(ə)l/          adj.大的，相当大的相当大的 94%，=sizable. 6%	sizeable  /ˈsaɪzəb(ə)l/       adj.大的，相当大的相当大的 94%，=sizable. 6%                 size, 大小, 规模, -able, 形容词后缀. 引申比喻义上规模的, 相当大的.      adjectivemainly UK US usually sizable uk/ˈsaɪ.zə.bəl/ us/ˈsaɪ.zə.bəl/   large大的，相当大的 a sizeable amount/area/house大量／大面积／大房子          sizeable
splitting   /ˈsplɪtɪŋ/          v.裂开（split的现在分词）adj.极快的；爆裂似的，剧烈的；滑稽的原型:splitting 是 split 的现在分词剧烈的 80%，动词split的现在分词. 20%	splitting  /ˈsplɪtɪŋ/       v.裂开（split的现在分词）adj.极快的；爆裂似的，剧烈的；滑稽的原型:splitting 是 split 的现在分词剧烈的 80%，动词split的现在分词. 20%                 来自 split, 分开. 引申比喻义头痛欲裂的.      adjectiveuk/ˈsplɪt.ɪŋ/ us/ˈsplɪt̬.ɪŋ/  splitting headache a very severe pain that you feel in your head头痛欲裂          splitting
finisher   /ˈfɪnɪʃər/          n.整理工；修整器；决定性的事件；最后优胜者运动中最后一击者 100%	finisher  /ˈfɪnɪʃər/       n.整理工；修整器；决定性的事件；最后优胜者运动中最后一击者 100%                       noun [ C usually plural ]uk/ˈfɪn.ɪ.ʃər/ us/ˈfɪn.ɪ.ʃɚ/   a person or animal that finishes an athletic competition（体育比赛中的）终点到达者          finisher
blackbird   /ˈblækbɜːrd/          n.画眉；燕八哥；山鸟类；(欧洲的)乌鸫画眉 35%，黑鸟 28%，燕八哥 15%，黑鹂 15%，贩卖奴隶 7%	blackbird  /ˈblækbɜːrd/       n.画眉；燕八哥；山鸟类；(欧洲的)乌鸫画眉 35%，黑鸟 28%，燕八哥 15%，黑鹂 15%，贩卖奴隶 7%                       noun [ C ]uk/ˈblæk.bɜːd/ us/ˈblæk.bɝːd/   a European bird, the male of which has black feathers and a bright yellow beak黑鸟，乌鸫（产于欧洲，雄鸟黑羽黄喙，雌鸟羽毛为棕色）          blackbird
speckled   /ˈspekld/          adj.有斑点的；如斑点般散布的v.点缀（speckle的过去式和过去分词）原型:speckled 是 speckle 的过去式有斑点的 89%，动词speckle的过去式和过去分词形式. 11%	"speckled  /ˈspekld/       adj.有斑点的；如斑点般散布的v.点缀（speckle的过去式和过去分词）原型:speckled 是 speckle 的过去式有斑点的 89%，动词speckle的过去式和过去分词形式. 11%                       adjectiveuk/ˈspek.əld/ us/ˈspek.əld/   covered with speckles布满斑点的；有色斑的 a bird with a speckled breast胸部有斑点的鸟       Something marked with small dots or spots is speckled. During your walk in the woods, you might see a speckled fawn, a little speckled frog, or even a bunch of speckled eggs in a nest.A shirt that's covered in tiny polka dots is speckled, and a street might be speckled with confetti after a parade. Animal coats with irregular flecks of color are often described as speckled, like the speckled coat of a brown and white horse. The origin of this adjective is uncertain, but experts guess that it's connected to the Old English specca, ""small spot or speck.""speckle: speckled, speckles, speckling   speckled"
affluence   /ˈæfluəns/          n.富裕；丰富；流入；汇聚富裕 100%	"affluence  /ˈæfluəns/       n.富裕；丰富；流入；汇聚富裕 100%           I'm becoming richer and have more affluence. What a great life!我变得更加富有，拥有更多的富裕。多么美好的生活啊      富裕;财富(af+flu+ence)[flu=flow,表示""流动""]            Affluence means great wealth and abundance, such as the great riches found by ancient explorers who exploited the new worlds of North and South America.The roots of the word affluence are recognizable in the Latin affluentia, which refers to something that flows toward (someone). We can see the connection when we think of the flow of wealth that signifies affluence in our society. For centuries we have seen the affluence in the United States that sparked admiration and jealousy among poorer nations, and we have seen that same affluence rising now in China, as it prepares to take its place as a major world power.affluence: affluences/affluent: affluence, affluently, affluents    affluence"
